Company	First Name	Last Name	Email	Alternate Email	Work Phone	Home Phone	Mobile Phone	Fax Phone	Otherphone	Column 1
	38 Hichborn Luxury				6173065858	6179175803				left a vm
Greystar Properties	500 Ocean Ave - Luxury				7813039764					The representatives were in a meeting so the concierge took my contact details and agreed to relay the information after the meetin, promising a callback.
Leisure Lane & 45 North	Brickpoint Properties, Inc. - LUXURY				7814380867	7812799800		7812799801		they are all set
9 BRONSDON STREET LLC	Eagle Rock Properties			brighton@eaglerockmanagement.com	6178704665					same email that we already have 
	Elan Union Market Luxury				6173907313					number unavailable
55	Everleigh Cape Cod				5084253809					left a vm
Gate House 75	GateHouse 75 LUXURY				6179360001					they hung up
	One Greenway - LUXURY				8572855995	8664206658			6174290136	left a vm
	The Nines Luxury				7812888280					Not interested 
	The Residences at Crosspoint				3512081229					invalid number
	The Retreat at Marlborough		avanamarlborough@greystar.com		5083652140					Texted their virtual assistant and got their email
Wellesley Place Luxury Apartments	Wellesley Place Luxury Apartments		bldsc@aol.com		5086551701					They provided their email
Bozzuto Development	HUB 50 House	50 Causeway	hop50haz@bazuto.com		6172275050					They provided their email
	Avenu at Natick	62+ Active Adult Apartment Homes			5087856228					left a vm
	Zero	Athens			8572594977					hung up on me
	Traders Row	Beverly			9787050450					left a vm
	Mill Street Heights	Hamilton Luxury			6178944652		7815480002			george's number
Schochet / Jonathan Rose Companies	Plumley Village	INCOME RESTRICTED			5087573801					left a vm
	Preserve North Residences	INCOME RESTRICTED			9783007180					They said that they have another company doing the training so they can't join the event
	1 Upland Apartments	LUXURY			7815515991			7813528040		left a vm
Dolben Company	100 Memorial Drive	LUXURY	memorial@dolben.com		6178643450			6173543037		They provided their email
	100 Pier 4	LUXURY			6172199595	6178497433				number unavailable
	1035 Commonwealth	LUXURY			6179175803	6175950094	6173065858			left a vm
	14 North *UDR)	LUXURY			9788836917					no reply
	145 Front at City Square	LUXURY	145front@jonesstreet.com		7744202207					A bot gave it to me
	15 High Street Residences	LUXURY			7815040405					left a vm
	190 North	LUXURY			6175007948					left a vm
Winn	201 Canal	LUXURY			9786378730					left a vm
	212 Stuart	LUXURY	212stuart@greystrar.com		6173908598					got his number
	365 Western Ave	LUXURY			0					no number
	40 & 50 Great Brook Valley	LUXURY	curtisi@winnco.com		5086359415					no answer, got it by research
Corcoran Management	50 West Broadway	LUXURY	50wb@jmcandco.com		6172699300					by research
Dolben	625 McGrath Way	LUXURY			8888981182		6172545576	6177835553		
	735 Truman Apartments	LUXURY			8332114504				8338104241	"no schedule is configured for this number, please check setup"
	7INK	LUXURY			6179124959					
A. O. Flats	A. O. Flats	LUXURY			6172458692	6176454875				
Avalon	AVA North Point	LUXURY			6179066562					
	AVA Somerville	LUXURY			8668970059	6179966153				
	AVA Theater District	LUXURY			8665248218		8573504949		8333762055	
	Ace Flats	LUXURY			9788340900					
	Alcott Apartments	LUXURY	jngo@eqr.com		617 6484923					they provided it
	Alexan Chelmsford	LUXURY			7818872918					
Greystar	Alta 412 at Abington Station	LUXURY			7813814046					
	Alta Union House	LUXURY			5082319980					
	Amy Lowell Apartments	LUXURY			6177420222			6172276032		
	Anchorage Apartments	LUXURY							6172424515	
	Andover Place	LUXURY			9786850552					
	Arborpoint at Woodland Station	LUXURY			6179691200			6179692229		
	Ashland Woods	LUXURY			5088613052					She took my message and said that they would call me back
Bozzuto	Ashlar Park	LUXURY			8337958405					Left a vm
	Atwood Saugus	LUXURY			6176090788					
Winn Residential	Auburn Court	LUXURY	auburncourtcambridge.com		6173546061			6173540657		
	Audubon Plantation Ridge	LUXURY			5087997299					
	Avalon Brighton	LUXURY			8559123199					
Avalon	Avalon Easton	LUXURY			5083064023					
	Avalon Hingham Shipyard	LUXURY			7817497822					
Avalon	Avalon Natick	LUXURY			5084568929					
	Avalon North Andover	LUXURY			8778341829					
Avalon	Avalon North Point	LUXURY			8665487503	6179451637	6178556801			
Avalon North Point Lofts	Avalon North Point Lofts	LUXURY			6176216300				6179968584	
	Avalon Quincy	LUXURY			6174053948					
Avalon	Avalon Quincy Adams	LUXURY			8444849862					
Avalon	Avalon Saugus	LUXURY			7813814877					
	Avalon at Assembly Row	LUXURY			8665877371	6176250986				
	Avalon at Bedford Center	LUXURY			7816229466					
Avalon	Avalon at Burlington	LUXURY			7815903645					
Avalon	Avalon at Exeter	LUXURY			8669321405	6172361369			6174335876	
	Avalon at Lexington	LUXURY			7818616902					
	Avalon at North Station	LUXURY			8572066647					
	Avalon at The Pinehills	LUXURY			5088413090					
	Avana East Main	LUXURY			5087856170					
Greystar	Avana Marlborough	LUXURY			5083652155					
	Axiom Apartment homes	LUXURY			6172062983					
	Axis at Lakeshore	LUXURY			5082792947					
	Bancroft Lofts	LUXURY			5089055138					Said that they're all set
Forest Properties	Barclay on Beacon	LUXURY			6172779481			6172329071		
	Beaver Brook Crossing	LUXURY			7818872918					
	Beaver Brook Village	LUXURY			9789373033					
	Bell Stoughton	LUXURY			8665759921		8558341143			
	Berkshire at the Pinehills	LUXURY			5087856201					
	Bethany Apartments	LUXURY			7818872918					
	Blue Hills Village	LUXURY			7813325539					
	Breakwater North Harbor	LUXURY			7818082127					
	Bremen 282	LUXURY					8573280809			
On Mark Living	Briar Glen Village	LUXURY			7815235429					no answer
Makor Capital	Briarwood Townhomes	LUXURY			8552127318					no answer
	Briggs Crossing	LUXURY	info@briggscrossingapts.com		5084095384					found by research (website)
	Brigham Square	LUXURY			8557985801		7816434938			left a voice message
	Brook Haven Estates	LUXURY			5082261480					left a voice message
	Burnham Apartment Homes	LUXURY			9786551771					hung up in my face
	Cabot Crossing	LUXURY			9789373880					left a voice message
	Cambridge Park	LUXURY	housing@cambridgema.gov		8332726955			6174975588		found by research (housing Navigator MA)
	Canalside Apartments	LUXURY			5088883608					The receptionist took the call, she didnt have the email but she told me that they would call back 
Winn	Castle Square	LUXURY	castlesquare@winnco.com		6174265517					found by research (housing Navigator MA)
Bozzuto	Center & Stone	LUXURY			8449312889					left a vm
	Charlesbank Residences	LUXURY			6172062104	6172063333				
	Chestnut Place	LUXURY	blevey@universalmgt.com		5084700391					found by research (housing management website)
	Christopher Columbus Plaza	LUXURY	ccp@peabodyproperties.com		6173672555			6173679124		found by research (housing navigator)
	Chroma	LUXURY			6174314348					left a vm
Clermont	Clermont Living	LUXURY			5088514408	7818572080				
	Coach House	LUXURY			9782566404					left a vm
	Colonial Point Apartments	LUXURY			4752675106					
	Courthouse Lofts	LUXURY			8575977597					
	Cove 164	LUXURY			7817767469					
	Devenscrest Village	LUXURY			9783914427					
	Douglass Park Apartments	LUXURY		crash@thehamiltoncompany.com	6172094461				6177830039	found by research (the hamilton comany's website)
	E3- Element, Eco, Edge	LUXURY			6172670006					found by research (rock hill group's webiste)
	Eagle Rock Apartments at Metro West	LUXURY			5088793153					left a vm
	Eagle Rock Apartments at Swampscott	LUXURY			7817805815					number not available
	Eaves Peabody	LUXURY			9788261859					left a vm
Makor Capital	Edge Merrimack River	LUXURY			9784555220					not a valid phone number
Dolben	Edgemere Crossing	LUXURY			5085019725					
	Elevation at Crown Colony	LUXURY			6172219000					The representative got my message and said that they will be giving me a call back
	Ellis Factory Lofts	LUXURY			9785193083					
	Emery Flats	LUXURY			3392184989					they hung up
	Empresa	LUXURY			5084344072					
	Enterprise Apartment Homes	LUXURY			9786551771					
	Essex Apartment Homes	LUXURY			8555190626		540818400			
	Fairhaven Residential Gardens	LUXURY			9783426914					
	Flats on 131	LUXURY			9787050450					
Winn Companies	Forest Park Apartments	LUXURY			4137341045					
	Fox Hower Framingham	LUXURY			5083655007					
	Foxmeadow Farm	LUXURY			8572757437					
Winn Companies	Franklin Commons	LUXURY			5089288544					
	GABLES-ARSENAL STREET	LUXURY			6177448384	8663554952				left a VM
	Gables University Station	LUXURY	https://www.gables.com/communities/massachusetts/westwood/gables-university-station/#floor-plans		7813267200					
Equity Apartments	Girard Apartments	LUXURY			6176484984	8443043628			8775322163	
	Grayson Lofts	LUXURY	grayson@nrpgroup.com		8332666796					found by research (SEB Housing website)
Greystar	HEW at 1515	LUXURY			8445927895					
Winn	Halstead Holden	LUXURY	halstead-an@m.knck.io		7742249039					found by research (housing navigator)
	Halstead Plymouth	LUXURY			5085036133					invalid phone number
	Halyard	LUXURY			3512773795					
	Hanover Alewife	LUXURY			8572706440	6172748134			6172093076	numbers are unavailable
	Harbor Point	LUXURY			6174360771			6172827533	8669601447	
Roseland Property Management	HarborView at Navy Yard	LUXURY			6172421598			6172422186		
	Harper	LUXURY			8575671628					
Haven North Andover	Haven North Andover	LUXURY			9789533185					
	Hemlock Lane Apartments	LUXURY			9786375271					
	Heritage at Bedford Springs	LUXURY			7815705848					
	Highland House Apartments	LUXURY			7819614047					left a vm
	Highland West	LUXURY			8446894881					
	Highlands at Dearborn Apartments	LUXURY			9782783142					
Greystar	Highlands at Hudson	LUXURY			9785201246					
	Holmes Beverly	LUXURY			8337382809					
	Ink Block	LUXURY			6179124969					
UDR	Inwood West	LUXURY			7819324100	7812290080			7814635028	
	J Malden Center	LUXURY			7815499640					no answer
	J Woburn Heights	LUXURY			7812306346				7819325239	
Greystar	Jade	LUXURY			6179158569					
	Jayden Apartments	LUXURY			9786435365					
	Junction Lofts	LUXURY			7744202514					
	Kendall Crossing Cambridge	LUXURY			6174941110				6179354987	
John M. Corcoran & Co	Kent Apartments	LUXURY			9782563967					
Taymil Partners	Kimball Towers	LUXURY			7819331823			7819330377		
	Lamplighter Village	LUXURY			7818287834					
Greystar	Link 480	LUXURY			8884175311		8884175311			
	Loft Two Seven	LUXURY			9782952965					
	Lonvale Gardens	LUXURY			9783884392		9789652632			
Greystar	Lore	LUXURY			9785435119					
	Lumiere	LUXURY			8575784800					
Lux Ridge Corporate Housing	Lux Ridge	LUXURY			6175710066			6172758211		
	Lux at Stoughton	LUXURY			7818863244					
	Manor Grove Apartments	LUXURY			9782067515					
	Maple Square Residences	LUXURY			9788828922					
Greystar	Marquee at Andover	LUXURY			8338042482	3512132003				
	Mashpee Village	LUXURY			15084772000					
Greystar	Mason	LUXURY			6179158652					
John M. Corcoran & Co	Massachusetts Mills	LUXURY			9789702200					
Greystar	Matrix Hudson	LUXURY			9785680555		9788466706		9786375725	
	Mave Apartments	LUXURY			7817904525	8669314077	7814382034	7814382035		
	Maxwell	LUXURY			617 9158636					
	Maxwell's Green	LUXURY			6176280220					
	McKay	LUXURY			3513331945					
	Mercantile Wharf	LUXURY				6172272324	6177995848			
	Meriel Marina Bay	LUXURY			6174594040					
	Michael's Landing	LUXURY			3516665427					
	Mill Falls	LUXURY			9788295965					
	Mill Street Gardens	LUXURY			7819331414					
	Mill Valley Estates	LUXURY			4135917009					
	Mill and 3 Apartments	LUXURY			9782035052					
	Millennium Place	LUXURY			6175421555			6175421559		
	Millside at Heritage Park	LUXURY			3392334421					
Groma	Mosaic	LUXURY			8577993486					
	Natick Corner	LUXURY			5086525246					
Winn	Newton Gardens	LUXURY			6179585509					
	Nexxus Apartments	LUXURY			7742701223					
	Northgate Apartments	LUXURY			7812893535		8444668422			
	Norton Links Apartments	LUXURY			5089019185					
Wakefield Investments	Ocean Point Apartments	LUXURY			7814381100					
John M. Corcoran & Co	Old Towne Village	LUXURY			8558193089					
	One Wall Street Apartments	LUXURY			7743325337					
	Oriole Landing	LUXURY			7817769107					
Bozzuto	Overlook at Saint Gabriel's	LUXURY			8446348281					
	Oxford Apartments	LUXURY			7813410164					
	Oxford Court Apartments	LUXURY			9783688755					
Winn	Pac10 Lofts	LUXURY			9782427979					
	Pacific Mill Lofts	LUXURY			9786556581					
	Parc Westborough	LUXURY			5086918276					
Nordblom	Pelham Hall	LUXURY			6172322430		8332905756			
Nordblom	Pelham Hall	LUXURY			6172322430		8332905756			
	Portside at East Pier	LUXURY			6175619500	8443791912	8775356121			
	Princeton Place	LUXURY			5082177733					
	Princeton Westford	LUXURY			9782212510					
	Princeton at Mount Vernon	LUXURY			9782212310					
	Prism Apartment Homes	LUXURY			8579958877					
	Proto Kendall Square	LUXURY			6172527170				6177422925	
	Prynne Hills	LUXURY			8559526829					
	RE150	LUXURY			7813938300					
	Radian	LUXURY			8776483075		6172104743			
	Regency Place	LUXURY			8332022413					
	Regency Village	LUXURY			3518881712					
	Residence at 850	LUXURY			5089183965					
	Residences @ Malden Station	LUXURY			7814044199		8335396586			
	Residences at Great Pond	LUXURY			8552082737		7817804783			
	Residences at Riverwalk	LUXURY			9788340900					
On Mark Living	Residences at Simonds Park	LUXURY			7814909639					
	Revio Revere Beach	LUXURY			6179585743	8777070433				
Bozzuto	Revolution at Assembly Row	LUXURY			8556424919					
	River Pointe at Den Rock	LUXURY			8777916354					
Gables Residential	Riverbend on the Charles	LUXURY			6178261716				6179970139	
	Rolling Meadows	LUXURY			9784336700					
Petrini Corp.	Rosemary Lake Apartments	LUXURY			7814441963					
	Royal Crest Estates	LUXURY			9783961398					
	Rozzie	LUXURY			6179820007				8573747379	
	SORA Revere	LUXURY			6175007939					
	Sagewell Hanover	LUXURY			7742163858					
	Sanctuary at Winchester North	LUXURY			7817179500					
John M. Corcoran & Co	Shrewsbury Commons	LUXURY			5088451161					
	Skyline Commons	LUXURY			9785772801					
John M. Corcoran & Co	Slade Farm Residences	LUXURY			7816603330					
	South Winds Apartments	LUXURY			5086789500					
	Station 117 Apartments	LUXURY			5085705506					
	Station 316	LUXURY			8669545261					
	Sterling Lofts	LUXURY			7742250225					
Greystar	Stone Gate	LUXURY			5087871005	5086904309	5084253864	5087871045		
	Stonehill Towers	LUXURY			7814381100					
	TGM Andover Park	LUXURY			2039078707					
Talia Apartments	Talia Apartments	LUXURY			5087621365	5083384801				
	The Artemis at Arlington Heights	LUXURY			7817732472					
	The Asher	LUXURY			5085013897					
John M. Corcoran & Co	The Atherton	LUXURY			9783734800					
	The Aver	LUXURY			8882508757					
	The Basin	LUXURY			339 2550059					
	The Beck	LUXURY			3516664793					
	The Block at Odell	LUXURY			9787050450					
Samuels and Associates	The Brynx	LUXURY			6176035694	8446795909				
John M. Corcoran & Co	The Chesterfield	LUXURY			5085939650					
	The Cordovan at Haverhill Station	LUXURY			9787362090					
Corcoran	The Devon at Weiss Farm	LUXURY			8663786845					
BOZUTTO	The Eliot on Ocean	LUXURY			6178956180		7816294381		8337117880	
	The Harvey	LUXURY			6172754285				8332991086	
	The Heights at Cape Ann	LUXURY			9785772129					
	The Heights at Haverhill	LUXURY			9788743100					
Nordbloom	The Huntington	LUXURY			7812224877					
	The Kiln	LUXURY			7742443234					
	The Kinloch Apartments	LUXURY			9789499183					
Northland	The MERC at Moody & Main	LUXURY			8776507804		8448416755			
	The Metlo	LUXURY			8775562871					
	The Pioneer	LUXURY			6179049229					
Panco Management	The Point at 3 North	LUXURY			9789652416		9789653063			
	The Prescott at Concord	LUXURY			8556415351					
Gables	The Proof	LUXURY			6178122862					
	The Residence at Joans Farm	LUXURY			9784554436					
	The Retreat at Marlborough	LUXURY			5083652140					
	The Slate	LUXURY			8443082741					
	The Smith	LUXURY			8572693030					
	The Sylvan Foxborough	LUXURY			8332777827					
Windsor Communities	The Victor by Windsor	LUXURY			6177429595				8448758049	
	The Watson Quincy	LUXURY			8442318196					
	The Westcott Swampscott	LUXURY			7817302808					
	Thread Hyde Park	LUXURY			7817673001					
Makor Capital	Town & Country Apartments	LUXURY			9782227813					
	Towne Lyne Village	LUXURY			9783688258					
Shaker Glen Village	Tudor Glen Village	LUXURY			7819353479			7819357106		
	Union & West	LUXURY			5086600195					
	Union Place	LUXURY			5087383073					
	Urbane at Alewife	LUXURY			8884931361					
Bozzuto	Velo Forest Hills	LUXURY			8332087657		8555360856			
